port,nets,cells,combcell,seqcell,macros,bufinv,refs,combarea,bufinvarea,noncombarea,macroarea,interconnectarea,totalcellarea,totalarea,slack,coreutil,rows,corew,coreh,aspectratio,cellnotonrow,nfcellnotonrow,celloverlap,nfcelloverlap,cellblock,nfcellblock,orientviolate,nforientviolate,siteviolate,nfsiteviolate,powerstrapviolate,nfpowerstrapviolate,twirelen,m1wl,m2wl,m3wl,m4wl,m5wl,m6wl,m7wl,m8wl,m9wl,mrdlwl,via12,via23,via34,via45,via56,via67,via78,via89,via9r,plangrp,volarea,routelayer,xglobalgrid,yglobalgrid,inst,sigclknets,netports,avgport,gcells,avgvart,peakvart,avghor,peakhor,twl,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,conts,v1,v2,v3,v4,v5,v6,v7,v8,v9,clkperiod,lvls,sinks,ctbuff,ctsaddgates,pregates,prebuf,clockcells,ctbuffarea,ctcellarea,mgskew,maxtranvio,maxcapvio,maxfanvio,cgskew,lpdelay,spdelay,cplen,cpslack,cpclkper,tns,viopath,whv,thv,holdvio,drc,routevio
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.9,313,523.488,523.336,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1993484.86,36716.74,723723.07,464679.73,307546.16,234991.62,94113.23,97230.75,13904.05,20579.51,0.0,372528,206521,66151,47737,16245,11834,2587,1968,0,0,0,10,158,158,99386,100938,370613,3.67,246490,50.28,105.26,70.52,137.5,2086977.61,5273.22,716445.95,462459.54,341232.59,238928.92,126703.82,104939.16,36788.29,52251.43,1954.7,852242,362760,290299,83308,65037,22965,18772,4905,4170,26,0.8,6,6000,91,0,0,0,91,690.25464,690.25464,0.02069,0,3,0,0.021,0.111,0.09,0.69,0.29,1.0,0.0,0.0,0.0,0.0,0.0,1246,29
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,1.0,297,496.584,496.584,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1924622.48,43909.15,668885.12,426012.53,312976.82,214920.1,118166.93,94795.41,22305.09,22594.5,56.85,373178,202063,69352,50929,19278,13149,3381,2357,4,0,0,10,150,150,99209,100761,370256,3.67,222010,57.17,110.53,77.19,133.33,2045603.27,1937.47,698215.53,425877.79,345024.14,223292.89,143238.73,101259.12,52294.18,50818.95,3644.47,867125,360565,286961,89607,70278,26835,21330,6382,5107,60,0.9,6,6000,79,0,0,0,79,629.76843,629.76843,0.0191,0,1,0,0.019,0.096,0.077,0.8,0.19,1.0,0.0,0.0,0.0,0.0,0.0,1921,859
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.601,383,641.136,640.376,0.9990000000000001,0,0,0,0,0,0,0,0,0,0,0,0,2301267.31,21102.54,1002240.27,657024.94,244108.05,263870.94,34610.1,71736.17,2681.89,3892.42,0.0,375605,232344,46369,37045,7185,6290,466,385,0,0,0,10,193,193,101756,103308,375350,3.63,368640,32.36,95.45,44.62,116.67,2278446.22,21632.58,867770.51,655718.62,306962.23,270549.05,46773.82,83897.06,7696.96,17445.38,0.0,800965,375957,307194,57564,44452,7502,7048,664,584,0,1.0,7,6000,104,0,0,0,104,785.81256,785.81256,0.02086,0,1,0,0.021,0.124,0.10300000000000001,0.64,0.34,1.0,0.0,0.0,0.0,0.0,0.0,19,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.7,355,593.56,593.56,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2175348.3,21300.67,881272.29,576438.11,291715.06,260298.48,50968.34,82801.7,3751.97,6801.7,0.0,374176,222746,56492,42327,10083,8333,859,712,0,0,0,10,179,179,101085,102637,374008,3.64,316840,37.23,100.0,53.16,125.0,2159258.17,13815.69,775704.68,572099.77,325392.57,264804.0,72693.9,97171.76,11193.8,26045.93,336.07,820561,371060,301986,68578,52438,12416,11148,1545,1386,4,0.6,5,6000,86,0,0,0,86,715.66895,715.66895,0.0136,0,1,0,0.013999999999999999,0.111,0.09699999999999999,0.66,0.32,1.0,0.0,0.0,0.0,0.0,0.0,31,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.8,332,555.256,555.104,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2076123.39,27631.47,795123.86,503522.19,322241.52,240769.82,82075.82,84973.17,9643.18,10142.35,0.0,371974,214108,62638,45961,13310,9863,1500,1112,0,0,0,10,168,168,99699,101251,371236,3.67,278890,43.66,100.0,60.63,137.5,2092550.66,8902.7,731241.34,504074.42,346298.27,243516.81,105226.0,95662.32,23861.3,32674.23,1093.29,835428,366028,296681,76691,58835,17412,14506,2827,2438,10,0.7,6,6000,80,0,0,0,80,662.80701,662.80701,0.01775,0,1,0,0.018000000000000002,0.106,0.08900000000000001,0.64,0.34,1.0,0.0,0.0,0.0,0.0,0.0,85,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.9,313,523.488,523.336,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1993484.86,36716.74,723723.07,464679.73,307546.16,234991.62,94113.23,97230.75,13904.05,20579.51,0.0,372528,206521,66151,47737,16245,11834,2587,1968,0,0,0,10,158,158,99386,100938,370613,3.67,246490,50.28,105.26,70.52,137.5,2086977.61,5273.22,716445.95,462459.54,341232.59,238928.92,126703.82,104939.16,36788.29,52251.43,1954.7,852242,362760,290299,83308,65037,22965,18772,4905,4170,26,0.8,6,6000,91,0,0,0,91,690.25464,690.25464,0.0206,0,4,0,0.021,0.111,0.09,0.68,0.3,1.0,0.0,0.0,0.0,0.0,0.0,674,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,1.0,297,496.584,496.584,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1924622.48,43909.15,668885.12,426012.53,312976.82,214920.1,118166.93,94795.41,22305.09,22594.5,56.85,373178,202063,69352,50929,19278,13149,3381,2357,4,0,0,10,150,150,99209,100761,370256,3.67,222010,57.17,110.53,77.19,133.33,2045603.27,1937.47,698215.53,425877.79,345024.14,223292.89,143238.73,101259.12,52294.18,50818.95,3644.47,867125,360565,286961,89607,70278,26835,21330,6382,5107,60,0.9,6,6000,79,0,0,0,79,629.76843,629.76843,0.0191,0,1,0,0.019,0.096,0.077,0.82,0.16,1.0,0.0,0.0,0.0,0.0,0.0,1385,47
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.601,383,641.136,640.376,0.9990000000000001,0,0,0,0,0,0,0,0,0,0,0,0,2301267.31,21102.54,1002240.27,657024.94,244108.05,263870.94,34610.1,71736.17,2681.89,3892.42,0.0,375605,232344,46369,37045,7185,6290,466,385,0,0,0,10,193,193,101756,103308,375350,3.63,368640,32.36,95.45,44.62,116.67,2278446.22,21632.58,867770.51,655718.62,306962.23,270549.05,46773.82,83897.06,7696.96,17445.38,0.0,800965,375957,307194,57564,44452,7502,7048,664,584,0,1.0,7,6000,104,0,0,0,104,785.81256,785.81256,0.02071,0,1,0,0.021,0.124,0.10300000000000001,0.64,0.33,1.0,0.0,0.0,0.0,0.0,0.0,20,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.7,355,593.56,593.56,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2175348.3,21300.67,881272.29,576438.11,291715.06,260298.48,50968.34,82801.7,3751.97,6801.7,0.0,374176,222746,56492,42327,10083,8333,859,712,0,0,0,10,179,179,101085,102637,374008,3.64,316840,37.23,100.0,53.16,125.0,2159258.17,13815.69,775704.68,572099.77,325392.57,264804.0,72693.89,97171.76,11193.8,26045.93,336.07,820561,371060,301986,68578,52438,12416,11148,1545,1386,4,0.6,5,6000,86,0,0,0,86,715.66895,715.66895,0.013569999999999999,0,1,0,0.013999999999999999,0.111,0.09699999999999999,0.66,0.32,1.0,0.0,0.0,0.0,0.0,0.0,42,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.8,332,555.256,555.104,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2076123.39,27631.47,795123.86,503522.19,322241.52,240769.82,82075.82,84973.17,9643.18,10142.35,0.0,371974,214108,62638,45961,13310,9863,1500,1112,0,0,0,10,168,168,99699,101251,371236,3.67,278890,43.66,100.0,60.63,137.5,2092550.66,8902.7,731241.34,504074.42,346298.27,243516.81,105226.0,95662.32,23861.3,32674.23,1093.29,835428,366028,296681,76691,58835,17412,14506,2827,2438,10,0.7,6,6000,80,0,0,0,80,662.80701,662.80701,0.01775,0,1,0,0.018000000000000002,0.106,0.08900000000000001,0.64,0.34,1.0,0.0,0.0,0.0,0.0,0.0,86,0
